,Title,Average Score,Standard Deviation,Individual Scores,Author-defined Area
113,iTransformer: Inverted Transformers Are Effective for Time Series Forecasting,7.5,0.8660254037844386,8;8;8;6,"representation learning for computer vision, audio, language, and other modalities"
114,Generative Modeling with Phase Stochastic Bridge,7.5,0.8660254037844386,8;8;8;6,generative models
115,Provable Offline Preference-Based Reinforcement Learning,7.5,0.8660254037844386,8;8;6;8,reinforcement learning
116,Deep Reinforcement Learning Guided Improvement Heuristic for Job Shop Scheduling,7.5,0.8660254037844386,8;8;8;6,optimization
117,Exploiting Causal Graph Priors with Posterior Sampling for Reinforcement Learning,7.5,0.8660254037844386,8;8;6;8,reinforcement learning
118,Physics-Regulated Deep Reinforcement Learning: Invariant Embeddings,7.5,0.8660254037844386,8;8;8;6,reinforcement learning
119,NaturalSpeech 2: Latent Diffusion Models are Natural and Zero-Shot Speech and Singing Synthesizers,7.5,0.8660254037844386,8;8;6;8,"representation learning for computer vision, audio, language, and other modalities"
120,Interpreting CLIP's Image Representation via Text-Based Decomposition,7.5,0.8660254037844386,8;8;6;8,visualization or interpretation of learned representations
121,"On the Joint Interaction of Models, Data, and Features",7.5,0.8660254037844386,8;6;8;8,visualization or interpretation of learned representations
122,Maximum Entropy Heterogeneous-Agent Reinforcement Learning,7.5,0.8660254037844386,8;8;6;8,reinforcement learning
123,Diffusion Generative Flow Samplers: Improving learning signals through partial trajectory optimization,7.5,0.8660254037844386,8;8;8;6,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
124,RTFS-Net: Recurrent time-frequency modelling for efficient audio-visual speech separation,7.5,0.8660254037844386,8;6;8;8,"general machine learning (i.e., none of the above)"
125,Image2Sentence based Asymmetrical Zero-shot Composed Image Retrieval,7.5,0.8660254037844386,8;8;8;6,"representation learning for computer vision, audio, language, and other modalities"
126,Generative Adversarial Inverse Multiagent Learning,7.5,1.6583123951777,8;10;6;6,reinforcement learning
127,Quick-Tune: Quickly Learning Which Pretrained Model to Finetune and How,7.5,0.8660254037844386,8;8;8;6,"transfer learning, meta learning, and lifelong learning"
128,In-Context Pretraining: Language Modeling Beyond Document Boundaries,7.5,0.8660254037844386,6;8;8;8,"representation learning for computer vision, audio, language, and other modalities"
129,Lipschitz Singularities in Diffusion Models,7.5,0.8660254037844386,6;8;8;8,generative models
130,Less is More: Fewer Interpretable Region via Submodular Subset Selection,7.5,0.8660254037844386,8;8;6;8,visualization or interpretation of learned representations
131,Influencer Backdoor Attack on Semantic Segmentation,7.5,0.8660254037844386,8;8;6;8,"societal considerations including fairness, safety, privacy"
132,Towards Optimal Regret in Adversarial Linear MDPs with Bandit Feedback,7.5,0.8660254037844386,8;8;8;6,reinforcement learning
133,Feasibility-Guided Safe Offline Reinforcement Learning,7.5,0.8660254037844386,8;8;6;8,reinforcement learning
134,Optimal Sample Complexity of Contrastive Learning,7.5,0.8660254037844386,8;6;8;8,learning theory
135,Memorization Capacity of Multi-Head Attention in Transformers,7.5,0.8660254037844386,8;8;8;6,learning theory
136,Multisize Dataset Condensation,7.5,0.8660254037844386,8;8;8;6,"general machine learning (i.e., none of the above)"
137,NuwaDynamics: Discovering and Updating in Causal Spatio-Temporal Modeling,7.5,1.6583123951777,10;8;6;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
138,A Versatile Causal Discovery Framework to Allow Causally-Related Hidden Variables,7.5,0.8660254037844386,8;6;8;8,causal reasoning
139,Multi-resolution HuBERT: Multi-resolution Speech Self-Supervised Learning with Masked Unit Prediction,7.5,0.8660254037844386,8;8;6;8,"representation learning for computer vision, audio, language, and other modalities"
140,A representation-learning game for classes of prediction tasks,7.5,0.8660254037844386,8;8;6;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
141,Revealing the Mystery of Distribution Correction Estimation via Orthogonal-gradient Update,7.5,0.8660254037844386,8;6;8;8,reinforcement learning
142,Neuron-Enhanced AutoEncoder Matrix Completion: Theory and Practice,7.5,0.8660254037844386,8;6;8;8,"general machine learning (i.e., none of the above)"
143,Massively Scalable Inverse Reinforcement Learning for Route Optimization,7.5,1.6583123951777,6;6;8;10,reinforcement learning
144,SE(3)-Stochastic Flow Matching for Protein Backbone Generation,7.5,0.8660254037844386,8;8;8;6,generative models
145,High-dimensional SGD aligns with emerging outlier eigenspaces,7.5,1.6072751268321592,10;8;8;6;8;5,learning theory
146,Recursive Generalization Transformer for Image Super-Resolution,7.5,0.8660254037844386,8;8;6;8,"representation learning for computer vision, audio, language, and other modalities"
147,Consistent algorithms for multi-label classification with macro-at-$k$ metrics,7.5,0.8660254037844386,8;8;6;8,"general machine learning (i.e., none of the above)"
148,Thin-Shell Object Manipulations With Differentiable Physics Simulations,7.4,1.2,8;8;8;8;5,"applications to robotics, autonomy, planning"
149,Is ImageNet worth 1 video? Learning strong image encoders from 1 long unlabelled video,7.4,1.2,8;8;8;5;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
150,Faithful and Efficient Explanations for Neural Networks via Neural Tangent Kernel Surrogate Models,7.4,1.2,8;8;8;5;8,"general machine learning (i.e., none of the above)"
151,Tool-Augmented Reward Modeling,7.333333333333333,0.9428090415820634,8;8;6,"representation learning for computer vision, audio, language, and other modalities"
152,Estimating Conditional Mutual Information for Dynamic Feature Selection,7.333333333333333,0.9428090415820634,8;6;8,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
153,Identifying the Risks of LM Agents with an LM-Emulated Sandbox,7.333333333333333,0.9428090415820634,6;8;8,"societal considerations including fairness, safety, privacy"
154,Combining Axes Preconditioners through Kronecker Approximation for Deep Learning,7.333333333333333,0.9428090415820634,8;6;8,optimization
155,Masked Audio Generative Modeling,7.333333333333333,0.9428090415820634,8;8;6,generative models
156,Beyond Stationarity: Convergence Analysis of Stochastic Softmax Policy Gradient Methods,7.333333333333333,0.9428090415820634,6;8;8,reinforcement learning
157,MUSTARD: Mastering Uniform Synthesis of Theorem and Proof Data,7.333333333333333,0.9428090415820634,8;6;8,datasets and benchmarks
158,An Analytical Solution to Gauss-Newton Loss for Direct Image Alignment,7.333333333333333,0.9428090415820634,8;6;8,optimization
159,Deep Temporal Graph Clustering,7.333333333333333,0.9428090415820634,8;6;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
160,"A path-norm toolkit for modern networks: consequences, promises and challenges",7.333333333333333,0.9428090415820634,6;8;8,learning theory
161,Simplifying Transformer Blocks,7.333333333333333,0.9428090415820634,8;8;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
162,Dictionary Contrastive Forward Learning via Adaptive Label Embeddings,7.333333333333333,0.9428090415820634,8;8;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
163,Uni3D: Exploring Unified 3D Representation at Scale,7.333333333333333,0.9428090415820634,6;8;8,"representation learning for computer vision, audio, language, and other modalities"
164,Poisoned Forgery Face: Towards Backdoor Attacks on Face Forgery Detection,7.333333333333333,0.9428090415820634,6;8;8,"general machine learning (i.e., none of the above)"
165,Finetuning Text-to-Image Diffusion Models for Fairness,7.333333333333333,1.8856180831641267,6;10;6,"societal considerations including fairness, safety, privacy"
166,Evaluating Large Language Models at Evaluating Instruction Following,7.333333333333333,0.9428090415820634,8;6;8,datasets and benchmarks
167,PTaRL: Prototype-based Tabular Representation Learning via Space Calibration,7.333333333333333,0.9428090415820634,8;8;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
168,Decodable and Sample Invariance Continuous Object Encoder,7.333333333333333,0.9428090415820634,8;6;8,"representation learning for computer vision, audio, language, and other modalities"
169,Neural Architecture Retrieval,7.333333333333333,0.9428090415820634,8;8;6,"general machine learning (i.e., none of the above)"
170,Implicit Gaussian process representation of vector fields over arbitrary latent manifolds,7.333333333333333,0.9428090415820634,6;8;8,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
171,Maximum Entropy Model Correction in Reinforcement Learning,7.333333333333333,0.9428090415820634,8;8;6,reinforcement learning
172,Lagrangian Flow Networks for Conservation Laws,7.333333333333333,0.9428090415820634,6;8;8,"applications to physical sciences (physics, chemistry, biology, etc.)"
173,Large Brain Model for Learning Generic Representations with Tremendous EEG Data in BCI,7.333333333333333,0.9428090415820634,8;8;6,applications to neuroscience & cognitive science
174,Illusory Attacks: Detectability Matters in Adversarial Attacks on Sequential Decision-Makers,7.333333333333333,0.9428090415820634,8;6;8,reinforcement learning
175,On the hardness of learning under symmetries,7.333333333333333,0.9428090415820634,8;6;8,learning theory
176,Space Group Constrained Crystal Generation,7.333333333333333,0.9428090415820634,6;8;8,"applications to physical sciences (physics, chemistry, biology, etc.)"
177,LoftQ: LoRA-Fine-Tuning-aware Quantization for Large Language Models,7.333333333333333,0.9428090415820634,8;8;6,optimization
178,Learning No-Regret Sparse Generalized Linear Models with Varying Observation(s),7.333333333333333,0.9428090415820634,8;6;8,"general machine learning (i.e., none of the above)"
179,Tackling the Data Heterogeneity in Asynchronous Federated Learning with Cached Update Calibration,7.333333333333333,0.9428090415820634,6;8;8,optimization
180,What does the Knowledge Neuron Thesis Have to do with Knowledge?,7.333333333333333,0.9428090415820634,8;8;6,"representation learning for computer vision, audio, language, and other modalities"
181,Overthinking the Truth: Understanding how Language Models Process False Demonstrations,7.333333333333333,0.9428090415820634,6;8;8,visualization or interpretation of learned representations
182,$t^3$-Variational Autoencoder: Learning Heavy-tailed Data with Student's t and Power Divergence,7.333333333333333,0.9428090415820634,8;6;8,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
183,A Benchmark for Learning to Translate a New Language from One Grammar Book,7.333333333333333,0.9428090415820634,6;8;8,datasets and benchmarks
184,GraphGuard: Provably Robust Graph Classification against Adversarial Attacks,7.333333333333333,0.9428090415820634,8;8;6,"societal considerations including fairness, safety, privacy"
185,InsertNeRF: Instilling Generalizability into NeRF with HyperNet Modules,7.333333333333333,1.8856180831641267,10;6;6,"representation learning for computer vision, audio, language, and other modalities"
186,Graph Neural Networks for Learning Equivariant Representations of Neural Networks,7.333333333333333,0.9428090415820634,8;8;6,learning on graphs and other geometries & topologies
187,Pre-Training Goal-based Models for Sample-Efficient Reinforcement Learning,7.333333333333333,0.9428090415820634,8;6;8,reinforcement learning
188,Provable Compositional Generalization for Object-Centric Learning,7.333333333333333,0.9428090415820634,8;8;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
189,Beyond Linear Spherical Interpolation: Noise Correction for Image Interpolation with Diffusion Models,7.333333333333333,0.9428090415820634,8;8;6,generative models
190,Adversarial AutoMixup,7.333333333333333,0.9428090415820634,8;6;8,"representation learning for computer vision, audio, language, and other modalities"
191,Transformer-VQ: Linear-Time Transformers via Vector Quantization,7.333333333333333,0.9428090415820634,8;8;6,generative models
192,On the Vulnerability of Adversarially Trained Models Against Two-faced Attacks,7.333333333333333,0.9428090415820634,6;8;8,"societal considerations including fairness, safety, privacy"
193,From Posterior Sampling to Meaningful Diversity in Image Restoration,7.333333333333333,0.9428090415820634,8;6;8,generative models
194,Latent Representation and Simulation of Markov Processes via Time-Lagged Information Bottleneck,7.333333333333333,0.9428090415820634,8;8;6,"representation learning for computer vision, audio, language, and other modalities"
195,On the Parameterization of Second-Order Optimization Effective towards the Infinite Width,7.333333333333333,0.9428090415820634,6;8;8,optimization
196,ReLU Strikes Back: Exploiting Activation Sparsity in Large Language Models,7.333333333333333,0.9428090415820634,6;8;8,"general machine learning (i.e., none of the above)"
197,One-shot Empirical Privacy Estimation for Federated Learning,7.333333333333333,0.9428090415820634,8;8;6,"societal considerations including fairness, safety, privacy"
198,Gene Regulatory Network Inference in the Presence of Dropouts: a Causal View,7.333333333333333,0.9428090415820634,8;8;6,causal reasoning
199,Enabling Efficient Equivariant Operations in the Fourier Basis via Gaunt Tensor Products,7.333333333333333,0.9428090415820634,8;6;8,learning on graphs and other geometries & topologies
200,Synapse: Trajectory-as-Exemplar Prompting with Memory for Computer Control,7.333333333333333,0.9428090415820634,8;6;8,"general machine learning (i.e., none of the above)"
201,SaProt: Protein Language Modeling with Structure-aware Vocabulary,7.333333333333333,0.9428090415820634,8;8;6,"representation learning for computer vision, audio, language, and other modalities"
202,Protein Discovery with Discrete Walk-Jump Sampling,7.333333333333333,0.9428090415820634,8;6;8,"applications to physical sciences (physics, chemistry, biology, etc.)"
203,CAS: A Probability-Based Approach for Universal Condition Alignment Score,7.333333333333333,0.9428090415820634,8;6;8,generative models
204,ResFields: Residual Neural Fields for Spatiotemporal Signals,7.333333333333333,0.9428090415820634,6;8;8,"representation learning for computer vision, audio, language, and other modalities"
205,Minimax optimality of convolutional neural networks for infinite dimensional input-output problems and separation from kernel methods,7.333333333333333,0.9428090415820634,8;6;8,learning theory
206,OctoPack: Instruction Tuning Code Large Language Models,7.333333333333333,0.9428090415820634,8;8;6,generative models
207,Flow Matching on General Geometries,7.333333333333333,0.9428090415820634,8;6;8,learning on graphs and other geometries & topologies
208,Predictive auxiliary objectives in deep RL mimic learning in the brain,7.333333333333333,0.9428090415820634,8;8;6,applications to neuroscience & cognitive science
209,Kernel Metric Learning for In-Sample Off-Policy Evaluation of Deterministic RL Policies,7.333333333333333,0.9428090415820634,6;8;8,reinforcement learning
210,Würstchen: An Efficient Architecture for Large-Scale Text-to-Image Diffusion Models,7.25,1.299038105676658,8;8;8;5,generative models
